RUN,REGION,YEAR,VALUE
nz-2050_hp-01,E07000238,2030,514.2571919396809
nz-2050_hp-01,E07000238,2035,501.2053496805941
nz-2050_hp-01,E07000238,2040,461.6187805739276
nz-2050_hp-01,E07000238,2045,409.42637863425335
nz-2050_hp-01,E07000238,2050,439.4976403211203
nz-2050_hp-01,E07000238,2055,406.67664986386075
nz-2050_hp-01,E07000238,2060,635.3510828012232
nz-2050_hp-01,E07000239,2015,481.80613278241896
nz-2050_hp-01,E07000239,2021,633.765282925494
nz-2050_hp-01,E07000239,2023,564.4243634269204
nz-2050_hp-01,E07000239,2025,500.82316149084056
nz-2050_hp-01,E07000239,2030,508.5657905415599
nz-2050_hp-01,E07000239,2035,499.3030053284066
nz-2050_hp-01,E07000239,2040,472.0960639885527
nz-2050_hp-01,E07000239,2045,423.8858976211375
nz-2050_hp-01,E07000239,2050,474.39433095200724
nz-2050_hp-01,E07000239,2055,447.11943573093595
